driver_id,latitude,longitude
D0000,37.564118452053,127.06348456729654
D0001,35.15498999433726,128.995673499019
D0002,35.8934633894749,128.57550506080776
D0003,37.527317732781206,126.73683249530526
D0004,35.16857257042673,126.76284126983806
D0005,36.36396819211034,127.2928941006812
D0006,35.52205281618052,129.32326037441536
D0007,37.331145819724526,126.95915008633352
D0008,35.27891236678278,128.75169679380602
D0009,36.70939390989624,127.56958020223269
D0010,37.54027650431117,126.96279123589264
D0011,35.08960376418044,129.0730499120691
D0012,35.77731579663903,128.6618417335085
D0013,37.41990194096286,126.76446003719354
D0014,35.23175726655096,126.79738124038268
D0015,36.42882240313822,127.29065662044754
D0016,35.556824647270204,129.375303583742
D0017,37.27231879369303,127.02219707322078
D0018,35.17320722758941,128.5904159884173
D0019,36.7071448572274,127.47096769562192
D0020,37.562874676788994,126.9906188555745
D0021,35.12172634445486,129.16536916769343
D0022,35.874459149249205,128.68831527205137
D0023,37.49916965508044,126.6163157345896
D0024,35.21242374680273,126.7861806393204
D0025,36.43773758533343,127.44988980501682
D0026,35.52727876378316,129.32918872970146
D0027,37.16639634259427,127.08296109369564
D0028,35.214889644658584,128.640669469672
D0029,36.70429464192309,127.58257198481628
D0030,37.59893717714237,126.90123615500237
D0031,35.133168984111784,129.14585156973993
D0032,35.928844291410456,128.53152214709633
D0033,37.35937325014695,126.69048876114286
D0034,35.10994001012338,126.8047034890872
D0035,36.30440040895612,127.41808734890962
D0036,35.440162966658896,129.35462552809534
D0037,37.30344173550747,127.05755872049215
D0038,35.25587314009851,128.73260196456368
D0039,36.73332750267201,127.41471545215938
D0040,37.567838240201255,127.07128185922468
D0041,35.10606611122402,129.11099992107316
D0042,35.93501338119025,128.6237219199706
D0043,37.369468432901726,126.72963338483471
D0044,35.14666807377455,126.86376809753668
D0045,36.26877921841543,127.45139084297834
D0046,35.5968338272456,129.31035144791716
D0047,37.34162302726196,127.10040926594132
D0048,35.288002259816345,128.627117181684
D0049,36.666863071290855,127.52133501214352
D0050,37.50393043851978,126.88452484428127
D0051,35.264831666105174,129.05136992238445
D0052,35.77273363360186,128.68126170864332
D0053,37.39906777789905,126.61275659361291
D0054,35.110935427204886,126.86541698433771
D0055,36.42583172085323,127.3635508199538
D0056,35.60689154554216,129.304588790186
D0057,37.28530092259415,126.97952537333056
D0058,35.28049916670186,128.73098935758676
D0059,36.59679302155562,127.53313357349204
D0060,37.65969874848167,127.07070991987815
D0061,35.20320750493539,129.11928829494713
D0062,35.866308936990244,128.5654035144418
D0063,37.36112236786528,126.78475271550384
D0064,35.25081079346657,126.82625406508902
D0065,36.44019513299298,127.47252437866211
D0066,35.46787055320335,129.24339258349352
D0067,37.29802101340275,126.97903903228558
D0068,35.251497107741244,128.62320782936754
D0069,36.65916665452509,127.52326070261871
D0070,37.51953617502606,127.0450491095476
D0071,35.10357867742898,129.15790306563343
D0072,35.85808375737045,128.59075756055998
D0073,37.48184654711245,126.64254925691948
D0074,35.214160808022875,126.84747452799492
D0075,36.330366491870045,127.29130890124006
D0076,35.456393455772194,129.32407674813322
D0077,37.290346401011526,126.97305821076591
D0078,35.1778070796895,128.64241981530495
D0079,36.55262632762134,127.57985168830308
D0080,37.53773570686568,127.0674175093951
D0081,35.24487975474893,129.02798584896965
D0082,35.9423605203299,128.6045038759456
D0083,37.3571747964566,126.65997436394107
D0084,35.10831891449852,126.89840268425858
D0085,36.39200226617426,127.45819251578948
D0086,35.50965060857976,129.33417916844158
D0087,37.339839467911126,127.01283827596508
D0088,35.26209112360465,128.59867326618638
D0089,36.55832325026549,127.50790967652232
D0090,37.489921446301054,126.93786935529693
D0091,35.18407666108535,129.06175223167236
D0092,35.77862395121356,128.5291798470355
D0093,37.478273746997104,126.75042121367387
D0094,35.24814685666939,126.89718301058458
D0095,36.353217374975856,127.46043614092996
D0096,35.47322184950665,129.2870303226585
